,,,pearson correlation latency survival vs cure ,pearson correlation latency survival vs cox survival,concordance correlation latency survival vs cure ,concordance correlation latency survival vs cox survival
1,TCGA-ACC,Adrenal cortical carcinoma,0.105179222,0.008972297,0.096899351,-0.073776312
2,TCGA-BLCA,Papillary transitional cell carcinoma,0.186288953,-0.094425461,0.155007104,-0.184850122
3,TCGA-BLCA,Transitional cell carcinoma,0.353673914,-0.015912415,0.145285254,-0.058738378
4,TCGA-BRCA,"Lobular carcinoma, NOS",0.623600648,-0.011717249,0.583265334,-0.056478203
5,TCGA-CHOL,Cholangiocarcinoma,-0.017283482,-0.002707347,-0.008181441,-0.0808654
6,TCGA-COAD,Mucinous adenocarcinoma,0.096556041,-0.0631648,0.082649098,-0.11307909
7,TCGA-ESCA,"Adenocarcinoma, NOS",0.045908549,-0.185930493,0.037113236,-0.145118966
8,TCGA-ESCA,"Squamous cell carcinoma, NOS",0.172891158,0.026199757,0.159654028,-0.066915787
9,TCGA-HNSC,"Squamous cell carcinoma, keratinizing, NOS",0.06019989,-0.096634431,0.054728088,-0.1380351
10,TCGA-LAML,"Acute myeloid leukemia, NOS",0.18903926,-0.182337814,0.092031584,-0.176424329
11,TCGA-LGG,Mixed glioma,0.324098624,-0.091540741,0.310565935,-0.116817307
12,TCGA-LGG,"Oligodendroglioma, anaplastic",0.231327363,-0.083820069,0.087924539,-0.183231345
13,TCGA-LUAD,Adenocarcinoma with mixed subtypes,0.55458712,-0.046927624,0.470405446,-0.110859049
14,TCGA-PAAD,"Infiltrating duct carcinoma, NOS",0.16176157,-0.324305796,0.118016374,-0.331899441
15,TCGA-READ,"Adenocarcinoma, NOS",0.2687537,-0.138143615,0.217640202,-0.210871967
16,TCGA-SARC,Dedifferentiated liposarcoma,0.005326519,0.014708458,0.003622126,-0.099738657
17,TCGA-SARC,"Leiomyosarcoma, NOS",0.100101058,0.126187338,0.090109765,0.000740343
18,TCGA-SKCM,"Malignant melanoma, NOS",0.15392265,-0.097499067,0.111883447,-0.160552074
19,TCGA-STAD,"Adenocarcinoma, intestinal type",0.172998845,-0.038583998,0.167015525,-0.117246997
20,TCGA-STAD,"Adenocarcinoma, NOS",0.189017069,-0.086986123,0.07036162,-0.115736045
21,TCGA-STAD,"Carcinoma, diffuse type",0.113302817,-0.009982177,0.104204974,-0.120109664
22,TCGA-STAD,Tubular adenocarcinoma,0.127241524,-0.05544064,0.117445582,-0.12889627
23,TCGA-THCA,"Papillary adenocarcinoma, NOS",0.160797645,-0.133539144,0.101046464,-0.17446474
24,TCGA-UCS,Mullerian mixed tumor,-0.006179359,0.002759086,-0.003874537,-0.08768307
25,TCGA-UVM,Mixed epithelioid and spindle cell melanoma,-0.170662613,-0.20760018,-0.13350283,-0.185527823